City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,roma,43.2128,-75.4557,270.86,89,0,0.0,US,1699846747
1,margate,51.3813,1.3862,284.76,95,100,2.24,GB,1699846906
2,queenstown,-31.8976,26.8753,282.2,86,2,0.1,ZA,1699846906
3,port-aux-francais,-49.35,70.2167,277.59,79,100,2.9,TF,1699846906
4,wellington,-41.2866,174.7756,290.96,83,75,13.38,NZ,1699846750
5,udachny,66.4167,112.4,261.18,84,100,3.64,RU,1699846907
6,pico truncado,-46.7949,-67.9573,282.4,41,0,10.43,AR,1699846907
7,torghay,49.6339,63.4981,277.12,89,8,1.16,KZ,1699846907
8,waitangi,-43.9535,-176.5597,286.1,85,100,8.38,NZ,1699846739
9,bambanglipuro,-7.95,110.2833,302.43,70,57,5.64,ID,1699846907
10,vinton,37.281,-79.897,280.62,82,0,0.71,US,1699846907
11,uyuni,-20.4597,-66.825,284.32,32,61,4.34,BO,1699846907
12,priargunsk,50.3691,119.1012,263.13,83,47,1.79,RU,1699846907
13,ribeira grande,38.5167,-28.7,290.25,86,100,3.13,PT,1699846907
14,adamstown,-25.066,-130.1015,295.94,86,99,8.81,PN,1699846739
15,bethel,41.3712,-73.414,274.53,76,0,0.0,US,1699846908
16,anadyr,64.75,177.4833,271.43,86,75,6.0,RU,1699846745
17,yellowknife,62.456,-114.3525,265.6,95,75,8.75,CA,1699846620
18,le vauclin,14.5452,-60.8388,300.18,78,20,6.17,MQ,1699846908
19,nuuk,64.1835,-51.7216,267.49,79,11,5.66,GL,1699846908
20,crane,31.3974,-102.3501,287.15,80,100,3.96,US,1699846908
21,turtas,58.9417,69.1325,272.99,97,66,1.95,RU,1699846909
22,cuenca,-2.8833,-78.9833,288.22,77,40,0.51,EC,1699846903
23,newman,37.3138,-121.0208,290.34,39,96,2.42,US,1699846910
24,remire-montjoly,4.9167,-52.2667,300.07,83,1,4.8,GF,1699846755
25,tazovsky,67.4667,78.7,266.34,94,85,7.24,RU,1699846655
26,coquimbo,-29.9533,-71.3436,287.0,82,0,3.6,CL,1699846910
27,invercargill,-46.4,168.35,285.38,91,100,2.68,NZ,1699846675
28,disina,11.4814,9.919,293.58,23,61,3.09,NG,1699846910
29,cozumel,20.5083,-86.9458,300.9,90,9,4.02,MX,1699846642
30,saipan,15.1355,145.701,304.54,74,20,8.75,MP,1699846910
31,hobyo,5.3505,48.5268,300.5,80,100,4.41,SO,1699846781
32,tambopata,-12.7333,-69.1833,299.01,68,87,0.83,PE,1699846911
33,papatowai,-46.5619,169.4708,283.94,96,100,2.46,NZ,1699846911
34,yuzhno-kurilsk,44.0306,145.8556,275.58,80,81,1.9,RU,1699846911
35,puerto natales,-51.7236,-72.4875,278.09,86,100,2.21,CL,1699846911
36,pisco,-13.7,-76.2167,292.6,88,15,3.09,PE,1699846911
37,horta,38.5333,-28.6333,289.83,86,100,3.13,PT,1699846912
38,howrah,22.5892,88.3103,299.15,69,15,4.12,IN,1699846760
39,minas de marcona,-15.2119,-75.1103,287.54,91,90,6.0,PE,1699846912
40,cill airne,52.05,-9.5167,282.64,86,97,12.98,IE,1699846912
41,blackmans bay,-43.0167,147.3167,294.22,35,2,2.35,AU,1699846912
42,serdar,38.9764,56.2757,286.23,47,52,5.25,TM,1699846912
43,tolanaro,-25.0319,46.9987,293.19,88,0,0.0,MG,1699846768
44,new norfolk,-42.7826,147.0587,294.87,32,15,4.77,AU,1699846913
45,wailua homesteads,22.0669,-159.378,300.39,80,75,8.23,US,1699846913
46,college,64.8569,-147.8028,261.73,82,20,0.0,US,1699846720
47,rehoboth,-23.3167,17.0833,294.53,44,11,1.95,NA,1699846913
48,baise city,23.8997,106.6133,287.23,80,100,0.5,CN,1699846913
49,bousso,10.4795,16.7117,297.95,74,84,2.19,TD,1699846913
50,petropavlovsk-kamchatsky,53.0452,158.6483,272.48,74,40,12.52,RU,1699846913
51,hamilton,39.1834,-84.5333,281.36,71,0,0.89,US,1699846325
52,puerto gaitan,4.3133,-72.0816,297.68,86,60,2.45,CO,1699846914
53,margaret river,-33.95,115.0667,297.79,49,55,3.03,AU,1699846740
54,codrington,-38.2667,141.9667,289.67,53,5,6.96,AU,1699846758
55,betio village,1.358,172.9211,303.17,75,71,5.02,KI,1699846914
56,ushuaia,-54.8,-68.3,282.96,53,0,4.12,AR,1699846743
57,nola,40.922,14.5329,287.39,99,22,0.48,IT,1699846914
58,labrador city,52.9463,-66.9114,265.1,93,100,3.09,CA,1699846914
59,west island,-12.1568,96.8225,301.14,78,75,4.63,CC,1699846914
60,constantia,44.1833,28.65,278.53,51,100,1.68,RO,1699846914
61,bredasdorp,-34.5322,20.0403,286.61,86,53,0.75,ZA,1699846915
62,port lincoln,-34.7333,135.8667,290.53,62,100,6.15,AU,1699846915
63,oranjemund,-28.55,16.4333,286.71,86,0,4.73,NA,1699846915
64,zavodskoy,43.4597,132.2922,273.92,37,7,7.0,RU,1699846915
65,as sulayyil,20.4607,45.5779,291.29,47,9,3.19,SA,1699846915
66,kristiansund,63.1115,7.732,273.51,80,61,2.06,NO,1699846915
67,flying fish cove,-10.4217,105.6791,300.97,69,40,6.17,CX,1699846915
68,tiksi,71.6872,128.8694,256.05,90,78,5.96,RU,1699846915
69,kodiak,57.79,-152.4072,271.88,80,40,1.54,US,1699846915
70,ust-nera,64.5667,143.2,249.11,99,99,1.39,RU,1699846916
71,rawson,-43.3002,-65.1023,284.85,41,74,5.28,AR,1699846875
72,kirensk,57.7853,108.1119,266.03,70,80,2.24,RU,1699846916
73,moletai,55.2333,25.4167,278.07,91,100,5.47,LT,1699846916
74,grytviken,-54.2811,-36.5092,275.54,91,100,1.84,GS,1699846740
75,al bawiti,28.3492,28.8659,292.08,89,0,2.71,EG,1699846916
76,al jahra',29.3375,47.6581,296.79,52,100,1.5,KW,1699846916
77,koraput,18.8167,82.7167,297.34,50,50,2.87,IN,1699846916
78,astrakhan,46.3497,48.0408,284.08,76,75,3.13,RU,1699846917
79,fortuna,40.5982,-124.1573,287.0,83,0,3.13,US,1699846848
80,onega,63.9061,38.1404,268.8,85,84,6.28,RU,1699846917
81,port elizabeth,-33.918,25.5701,288.31,79,0,5.14,ZA,1699846917
82,edinburgh of the seven seas,-37.0676,-12.3116,287.5,81,54,10.96,SH,1699846742
83,iqaluit,63.7506,-68.5145,254.09,77,20,2.57,CA,1699846917
84,naze,28.3667,129.4833,291.66,64,96,8.76,JP,1699846917
85,port mathurin,-19.6833,63.4167,298.32,78,0,2.01,MU,1699846744
86,batarasa,8.6617,117.6222,303.87,65,9,3.74,PH,1699846917
87,longyearbyen,78.2186,15.6401,267.06,73,75,8.75,SJ,1699846918
88,juan griego,11.0817,-63.9655,299.81,84,100,5.93,VE,1699846918
89,acarau,-2.8856,-40.12,298.86,78,0,5.94,BR,1699846886
90,uray,60.1247,64.7758,270.3,94,97,1.34,RU,1699846918
91,dzhalagash,45.0833,64.6667,278.25,71,6,0.85,KZ,1699846918
92,susuman,62.7833,148.1667,244.99,97,92,0.41,RU,1699846765
93,vorgashor,67.5833,63.95,262.61,97,95,2.7,RU,1699846918
94,lebu,-37.6167,-73.65,281.1,74,0,6.25,CL,1699846744
95,albany,42.6001,-73.9662,271.33,81,0,1.44,US,1699846918
96,zaysan,47.4667,84.8667,275.82,87,100,1.57,KZ,1699846919
97,port hedland,-20.3167,118.5667,304.18,51,14,7.72,AU,1699846919
98,zhob,31.3411,69.4481,287.96,27,7,1.74,PK,1699846919
99,basoko,1.2391,23.616,293.35,97,81,0.77,CD,1699846919
100,g'azalkent,41.5581,69.7708,281.02,37,73,2.55,UZ,1699846919
101,kerikeri,-35.2268,173.9474,292.45,53,31,3.84,NZ,1699846685
102,bhadrakh,21.0528,86.52,301.05,48,49,3.28,IN,1699846919
103,tengrela,10.4869,-6.4097,296.65,53,23,0.26,CI,1699846919
104,natal,-5.795,-35.2094,297.27,83,20,3.09,BR,1699846919
105,nova vicosa,-17.8919,-39.3719,297.42,84,1,6.68,BR,1699846920
106,borovichi,58.3878,33.9155,276.49,94,100,1.79,RU,1699846920
107,nema,57.5067,50.5011,275.02,94,100,6.43,RU,1699846920
108,elliot lake,46.3834,-82.6331,277.55,89,100,6.32,CA,1699846790
109,brookings,44.3114,-96.7984,279.36,57,0,2.57,US,1699846626
110,bathsheba,13.2167,-59.5167,301.49,83,40,7.72,BB,1699846920
111,ketchikan,55.3422,-131.6461,280.14,61,0,2.57,US,1699846920
112,punta arenas,-53.15,-70.9167,282.21,61,75,7.2,CL,1699846675
113,san patricio,28.017,-97.5169,290.84,97,100,5.6,US,1699846920
114,jamestown,42.097,-79.2353,275.95,77,0,0.45,US,1699846675
115,sitka,57.0531,-135.33,275.09,87,0,0.0,US,1699846921
116,kaohsiung,22.6163,120.3133,302.12,64,40,3.09,TW,1699846921
117,nalut,30.3333,10.85,288.56,38,0,3.35,LY,1699846921
118,leo,11.1,-2.1,296.74,18,70,3.31,BF,1699846921
119,yangquan,37.8575,113.5633,279.66,23,100,4.29,CN,1699846921
120,tchintabaraden,15.8969,5.7985,295.52,15,4,4.73,NE,1699846921
121,al jawf,29.5,38.75,294.49,43,99,0.61,SA,1699846921
122,norak,38.3892,69.3227,280.99,37,62,2.15,TJ,1699846921
123,georgetown,5.4112,100.3354,305.9,74,20,2.57,MY,1699846922
124,qaqortoq,60.7167,-46.0333,264.26,91,26,1.05,GL,1699846922
